# the local coordinates system, given by x axis, y axis, z axis and centroid; and the shape dimensions in these three axes
# the ID below should link to the id in asDamaged.ifc which I gave you before, they're the line number at which the element appears in the asDamaged.ifc
# the three axes should be mutually orthogonal, since they represents the axes in the local reference frame of the element
# x1 x2 x3 y1 y2 y3 z1 z2 z3 x0 y0 z0 xDim yDim zDim ID elementType
1 0 0 0 1 0 0 0 1 33.8868 13.8419 -0.25 0.300003 6.31505 0.5 83 IfcBeam
1 0 0 0 1 0 0 0 1 33.8868 3.61855 -0.25 0.300003 6.31505 0.5 167 IfcBeam
1 0 0 0 1 0 0 0 1 32.0128 0.110747 -0.25 3.45321 0.3 0.5 267 IfcBeam
1 0 0 0 1 0 0 0 1 28.2652 0.110747 -0.25 3.4472 0.3 0.5 371 IfcBeam
1 0 0 0 1 0 0 0 1 33.8868 3.61855 0.55 0.300003 6.31505 0.5 453 IfcBeam
1 0 0 0 1 0 0 0 1 33.8894 17.2497 2.4 0.299999 0.5 3.2 556 IfcColumn
1 0 0 0 1 0 0 0 1 33.8894 10.4341 2.4 0.299999 0.5 3.2 639 IfcColumn
1 0 0 0 1 0 0 0 1 33.8894 7.02634 2.4 0.299999 0.5 3.2 716 IfcColumn
0 1 0 0.979624 0 -0.20084 0.20084 0 0.979624 33.8394 0.210747 1.28776 0.5 0.300003 0.99582 816 IfcBeam
1 0 0 0 1 0 0 0 1 22.6409 0.210747 2.4 0.299999 0.5 3.2 898 IfcColumn
-0.999784 -3.31577e-09 -0.0207679 3.31649e-09 -1 0 -0.0207679 -6.88764e-11 0.999784 33.9143 0.210747 6.00026 0.300003 0.5 2.4 998 IfcBeam
-1 1.34306e-09 0 1.34164e-09 0.998941 -0.0460059 -6.17887e-11 -0.0460059 -0.998941 30.1388 0.235747 4.54283 0.5 0.3 1.08682 1103 IfcBeam
1 0 0 0 1 0 0 0 1 26.3916 0.210747 5.6 0.299999 0.5 3.2 1185 IfcColumn
1 0 0 0 1 0 0 0 1 22.6409 0.210747 5.6 0.299999 0.5 3.2 1262 IfcColumn
-3.00586e-09 1 0 0.998049 3e-09 -0.0624418 -0.0624418 -1.87691e-10 -0.998049 33.9144 0.210747 4.39922 0.5 0.299999 0.800001 1362 IfcBeam
-0.999736 0.00607957 -0.0221636 -0.00607886 -0.999982 -9.93251e-05 -0.0221638 3.54308e-05 0.999754 26.0303 0.130369 7.02845 6.45612 0.3 0.500001 1468 IfcBeam
0.999439 0 -0.0335041 -0.0335041 0 -0.999439 0 -1 0 31.4956 0.110747 7.02516 4.48343 0.5 0.3 1574 IfcBeam
1 -7.68146e-05 0 7.68146e-05 1 0 0 0 1 24.5158 0.110615 -0.25 3.44979 0.3 0.5 1859 IfcBeam
1 0 0 0 1 0 0 0 1 33.8894 8.73024 -0.25 0.299999 2.90779 0.5 1963 IfcBeam
1 0 0 0 1 0 0 0 1 33.8868 13.8419 0.65 0.300003 6.31505 0.5 2045 IfcBeam
1 0 0 0 1 0 0 0 1 33.8894 8.73024 0.55 0.299999 2.90779 0.5 2122 IfcBeam
1 0 0 0 1 0 0 0 1 26.3916 0.210747 2.4 0.299999 0.5 3.2 2199 IfcColumn
1 0 0 0 1 0 0 0 1 33.8868 13.8419 3.75 0.300003 6.31505 0.5 2276 IfcBeam
1 0 0 0 1 0 0 0 1 33.8868 3.61855 3.75 0.300003 6.31505 0.5 2353 IfcBeam
1 0 0 0 1 0 0 0 1 33.8894 8.73024 3.75 0.299999 2.90779 0.5 2430 IfcBeam
1 0 0 0 1 0 0 0 1 33.8894 17.2497 5.6 0.299999 0.5 3.2 2507 IfcColumn
1 0 0 0 1 0 0 0 1 33.8894 10.4341 5.6 0.299999 0.5 3.2 2584 IfcColumn
1 0 0 0 1 0 0 0 1 33.8894 7.02634 5.6 0.299999 0.5 3.2 2661 IfcColumn
1 0 0 0 1 0 0 0 1 33.8868 13.8419 6.95 0.300003 6.31505 0.5 2738 IfcBeam
1 0 0 0 1 0 0 0 1 33.8868 3.61855 6.95 0.300003 6.31505 0.5 2815 IfcBeam
1 0 0 0 1 0 0 0 1 33.8894 8.73024 6.95 0.299999 2.90779 0.5 2892 IfcBeam
2.99999e-09 -0.999721 -0.0236415 1 3.00083e-09 0 7.09442e-11 -0.0236415 0.999721 30.1388 0.235747 6.14283 0.3 0.5 2.11492 3160 IfcBeam
-0.999748 -8.79163e-10 -0.0224712 8.79385e-10 -1 0 -0.0224712 -1.97609e-11 0.999748 33.9144 0.210747 2.88776 0.299999 0.5 2.22503 3265 IfcBeam
-0.122174 -0.0443189 -0.991519 -0.932087 -0.338116 0.129964 -0.341008 0.94006 6.87615e-18 30.4009 0.260747 2.88138 2.25637 0.300001 0.500001 3690 IfcBeam
